V.g..name,V.g..comm_louvain
V0,0
V1,11
V2,0
V3,0
V4,0
V5,0
V6,12
V7,13
V8,0
V9,0
V10,5
V11,0
V12,0
V13,0
V14,0
V15,0
V16,0
V17,14
V18,0
V19,15
V20,0
V21,0
V22,6
V23,0
V24,0
V25,0
V26,7
V27,16
V28,0
V29,0
V30,0
V31,0
V32,17
V33,0
V34,0
V35,0
V36,0
V37,18
V38,0
V39,0
V40,0
V41,0
V42,0
V43,19
V44,0
V45,0
V46,0
V47,0
V48,0
V49,0
V50,0
V51,0
V52,0
V53,20
V54,0
V55,0
V56,0
V57,0
V58,0
V59,0
V60,0
V61,0
V62,21
V63,0
V64,0
V65,0
V66,0
V67,20
V68,0
V69,22
V70,0
V71,0
V72,0
V73,23
V74,0
V75,0
V76,0
V77,1
V78,0
V79,0
V80,0
V81,0
V82,24
V83,25
V84,8
V85,0
V86,0
V87,0
V88,0
V89,5
V90,18
V91,0
V92,26
V93,13
V94,0
V95,27
V96,0
V97,0
V98,0
V99,0
V100,0
V101,0
V102,0
V103,0
V104,0
V105,0
V106,0
V107,0
V108,0
V109,0
V110,0
V111,5
V112,0
V113,23
V114,5
V115,0
V116,0
V117,0
V118,0
V119,0
V120,0
V121,0
V122,0
V123,0
V124,0
V125,0
V126,0
V127,0
V128,28
V129,1
V130,0
V131,0
V132,29
V133,0
V134,0
V135,0
V136,15
V137,0
V138,13
V139,0
V140,0
V141,12
V142,30
V143,0
V144,0
V145,0
V146,0
V147,0
V148,0
V149,0
V150,0
V151,0
V152,0
V153,0
V154,25
V155,0
V156,0
V157,0
V158,2
V159,31
V160,0
V161,0
V162,0
V163,0
V164,0
V165,0
V166,0
V167,1
V168,32
V169,30
V170,0
V171,0
V172,0
V173,0
V174,0
V175,0
V176,0
V177,0
V178,0
V179,0
V180,33
V181,0
V182,15
V183,0
V184,0
V185,17
V186,0
V187,0
V188,20
V189,0
V190,22
V191,7
V192,0
V193,0
V194,0
V195,0
V196,12
V197,0
V198,0
V199,0
V200,0
V201,34
V202,0
V203,1
V204,0
V205,0
V206,0
V207,0
V208,0
V209,0
V210,35
V211,11
V212,0
V213,0
V214,0
V215,0
V216,0
V217,0
V218,0
V219,0
V220,0
V221,0
V222,0
V223,0
V224,0
V225,0
V226,0
V227,0
V228,0
V229,0
V230,0
V231,0
V232,0
V233,0
V234,3
V235,0
V236,0
V237,0
V238,0
V239,0
V240,0
V241,0
V242,0
V243,0
V244,0
V245,0
V246,0
V247,0
V248,0
V249,0
V250,34
V251,0
V252,26
V253,0
V254,0
V255,0
V256,32
V257,9
V258,29
V259,0
V260,0
V261,0
V262,0
V263,0
V264,0
V265,0
V266,0
V267,0
V268,0
V269,0
V270,0
V271,0
V272,0
V273,18
V274,22
V275,36
V276,0
V277,0
V278,0
V279,0
V280,24
V281,0
V282,0
V283,0
V284,22
V285,0
V286,0
V287,6
V288,0
V289,0
V290,4
V291,37
V292,0
V293,22
V294,0
V295,0
V296,0
V297,12
V298,31
V299,31
V300,0
V301,1
V302,0
V303,0
V304,7
V305,28
V306,0
V307,0
V308,0
V309,0
V310,0
V311,0
V312,0
V313,0
V314,29
V315,0
V316,0
V317,0
V318,0
V319,38
V320,0
V321,0
V322,0
V323,0
V324,0
V325,0
V326,0
V327,0
V328,0
V329,0
V330,0
V331,0
V332,0
V333,29
V334,0
V335,0
V336,34
V337,0
V338,0
V339,0
V340,0
V341,0
V342,0
V343,0
V344,0
V345,0
V346,0
V347,0
V348,9
V349,0
V350,0
V351,10
V352,0
V353,37
V354,0
V355,8
V356,0
V357,0
V358,39
V359,0
V360,0
V361,0
V362,4
V363,0
V364,0
V365,0
V366,0
V367,0
V368,34
V369,35
V370,0
V371,0
V372,19
V373,0
V374,33
V375,0
V376,0
V377,3
V378,0
V379,0
V380,0
V381,0
V382,3
V383,0
V384,0
V385,0
V386,0
V387,0
V388,0
V389,0
V390,0
V391,0
V392,0
V393,36
V394,29
V395,4
V396,0
V397,0
V398,0
V399,0
V400,0
V401,0
V402,35
V403,0
V404,0
V405,25
V406,0
V407,37
V408,0
V409,7
V410,0
V411,0
V412,9
V413,0
V414,0
V415,0
V416,0
V417,32
V418,17
V419,0
V420,5
V421,0
V422,0
V423,0
V424,0
V425,39
V426,1
V427,16
V428,0
V429,0
V430,0
V431,21
V432,0
V433,0
V434,0
V435,0
V436,0
V437,18
V438,0
V439,0
V440,0
V441,0
V442,0
V443,0
V444,1
V445,0
V446,0
V447,0
V448,0
V449,0
V450,0
V451,0
V452,0
V453,0
V454,0
V455,0
V456,0
V457,0
V458,0
V459,38
V460,0
V461,0
V462,0
V463,0
V464,10
V465,0
V466,0
V467,0
V468,0
V469,0
V470,0
V471,14
V472,23
V473,0
V474,0
V475,0
V476,0
V477,0
V478,0
V479,0
V480,0
V481,0
V482,0
V483,0
V484,0
V485,0
V486,0
V487,0
V488,0
V489,0
V490,0
V491,0
V492,0
V493,0
V494,38
V495,0
V496,0
V497,11
V498,0
V499,0
V500,0
V501,0
V502,0
V503,0
V504,0
V505,0
V506,0
V507,0
V508,0
V509,10
V510,0
V511,4
V512,0
V513,0
V514,0
V515,0
V516,0
V517,0
V518,21
V519,0
V520,0
V521,31
V522,0
V523,0
V524,0
V525,0
V526,0
V527,0
V528,0
V529,0
V530,0
V531,0
V532,0
V533,0
V534,0
V535,0
V536,0
V537,10
V538,0
V539,24
V540,0
V541,0
V542,9
V543,0
V544,27
V545,0
V546,2
V547,18
V548,0
V549,0
V550,25
V551,0
V552,0
V553,0
V554,0
V555,0
V556,0
V557,0
V558,0
V559,0
V560,0
V561,0
V562,0
V563,0
V564,16
V565,0
V566,0
V567,0
V568,0
V569,0
V570,0
V571,0
V572,6
V573,0
V574,0
V575,0
V576,37
V577,36
V578,0
V579,0
V580,0
V581,0
V582,0
V583,0
V584,0
V585,0
V586,0
V587,0
V588,0
V589,34
V590,0
V591,0
V592,0
V593,0
V594,0
V595,0
V596,17
V597,0
V598,1
V599,0
V600,0
V601,0
V602,3
V603,0
V604,0
V605,0
V606,14
V607,0
V608,0
V609,0
V610,0
V611,0
V612,0
V613,0
V614,0
V615,0
V616,7
V617,32
V618,0
V619,2
V620,0
V621,0
V622,0
V623,0
V624,0
V625,0
V626,0
V627,0
V628,0
V629,0
V630,0
V631,0
V632,0
V633,0
V634,0
V635,0
V636,0
V637,0
V638,19
V639,0
V640,0
V641,0
V642,0
V643,0
V644,0
V645,0
V646,0
V647,0
V648,0
V649,0
V650,0
V651,0
V652,0
V653,15
V654,0
V655,0
V656,25
V657,0
V658,0
V659,0
V660,0
V661,0
V662,0
V663,14
V664,38
V665,0
V666,10
V667,0
V668,0
V669,0
V670,0
V671,10
V672,0
V673,0
V674,0
V675,6
V676,0
V677,12
V678,24
V679,0
V680,0
V681,0
V682,0
V683,8
V684,0
V685,0
V686,23
V687,0
V688,30
V689,38
V690,24
V691,0
V692,0
V693,0
V694,0
V695,0
V696,0
V697,4
V698,30
V699,0
V700,0
V701,0
V702,0
V703,0
V704,0
V705,0
V706,36
V707,3
V708,0
V709,0
V710,0
V711,0
V712,0
V713,2
V714,0
V715,0
V716,0
V717,0
V718,4
V719,0
V720,6
V721,0
V722,0
V723,28
V724,0
V725,27
V726,0
V727,27
V728,0
V729,0
V730,0
V731,0
V732,0
V733,0
V734,33
V735,21
V736,0
V737,0
V738,26
V739,35
V740,0
V741,13
V742,0
V743,7
V744,31
V745,0
V746,0
V747,0
V748,0
V749,0
V750,0
V751,0
V752,0
V753,0
V754,0
V755,0
V756,0
V757,0
V758,0
V759,0
V760,0
V761,0
V762,0
V763,0
V764,19
V765,0
V766,0
V767,0
V768,0
V769,17
V770,11
V771,0
V772,0
V773,0
V774,0
V775,30
V776,0
V777,0
V778,9
V779,0
V780,0
V781,0
V782,0
V783,0
V784,0
V785,19
V786,0
V787,0
V788,0
V789,0
V790,0
V791,0
V792,0
V793,0
V794,0
V795,0
V796,0
V797,0
V798,2
V799,0
V800,39
V801,27
V802,0
V803,0
V804,0
V805,0
V806,21
V807,0
V808,0
V809,28
V810,0
V811,0
V812,0
V813,0
V814,0
V815,0
V816,0
V817,0
V818,0
V819,0
V820,0
V821,0
V822,0
V823,0
V824,0
V825,39
V826,8
V827,0
V828,0
V829,0
V830,0
V831,0
V832,0
V833,0
V834,0
V835,0
V836,0
V837,0
V838,0
V839,0
V840,0
V841,0
V842,4
V843,0
V844,0
V845,0
V846,37
V847,0
V848,0
V849,0
V850,0
V851,0
V852,0
V853,26
V854,0
V855,0
V856,0
V857,0
V858,0
V859,0
V860,0
V861,15
V862,0
V863,0
V864,0
V865,0
V866,0
V867,5
V868,0
V869,0
V870,0
V871,0
V872,3
V873,0
V874,0
V875,0
V876,0
V877,39
V878,28
V879,0
V880,0
V881,0
V882,16
V883,33
V884,0
V885,0
V886,0
V887,0
V888,6
V889,16
V890,0
V891,0
V892,0
V893,0
V894,0
V895,0
V896,0
V897,0
V898,35
V899,0
V900,26
V901,0
V902,0
V903,0
V904,0
V905,0
V906,14
V907,0
V908,0
V909,11
V910,0
V911,0
V912,0
V913,0
V914,0
V915,0
V916,0
V917,0
V918,33
V919,20
V920,0
V921,20
V922,2
V923,8
V924,0
V925,0
V926,0
V927,0
V928,0
V929,0
V930,0
V931,3
V932,0
V933,0
V934,2
V935,0
V936,0
V937,0
V938,0
V939,0
V940,0
V941,0
V942,9
V943,36
V944,0
V945,0
V946,0
V947,0
V948,0
V949,0
V950,0
V951,0
V952,0
V953,0
V954,0
V955,0
V956,0
V957,0
V958,0
V959,0
V960,0
V961,0
V962,0
V963,1
V964,0
V965,0
V966,0
V967,0
V968,0
V969,0
V970,0
V971,0
V972,0
V973,0
V974,0
V975,0
V976,0
V977,13
V978,0
V979,0
V980,0
V981,0
V982,0
V983,0
V984,32
V985,0
V986,0
V987,0
V988,0
V989,0
V990,0
V991,8
V992,0
V993,0
V994,0
V995,0
V996,23
V997,0
V998,0
V999,0
