V.g..name,V.g..comm_louvain
V0,9
V1,7
V2,11
V3,22
V4,31
V5,5
V6,6
V7,4
V8,11
V9,26
V10,5
V11,27
V12,14
V13,21
V14,0
V15,35
V16,9
V17,15
V18,16
V19,2
V20,32
V21,37
V22,23
V23,26
V24,10
V25,6
V26,43
V27,57
V28,11
V29,4
V30,15
V31,6
V32,44
V33,3
V34,26
V35,18
V36,7
V37,14
V38,26
V39,18
V40,16
V41,0
V42,2
V43,39
V44,34
V45,10
V46,10
V47,58
V48,18
V49,52
V50,5
V51,18
V52,45
V53,6
V54,8
V55,0
V56,9
V57,37
V58,28
V59,0
V60,5
V61,57
V62,0
V63,53
V64,3
V65,40
V66,33
V67,0
V68,4
V69,48
V70,27
V71,20
V72,10
V73,40
V74,5
V75,3
V76,15
V77,11
V78,0
V79,24
V80,0
V81,12
V82,37
V83,19
V84,0
V85,4
V86,9
V87,13
V88,49
V89,5
V90,33
V91,6
V92,0
V93,4
V94,28
V95,21
V96,20
V97,8
V98,1
V99,9
V100,3
V101,3
V102,22
V103,8
V104,54
V105,0
V106,10
V107,55
V108,28
V109,26
V110,25
V111,5
V112,29
V113,26
V114,5
V115,49
V116,55
V117,0
V118,19
V119,41
V120,0
V121,5
V122,8
V123,1
V124,19
V125,7
V126,10
V127,9
V128,38
V129,0
V130,18
V131,24
V132,34
V133,7
V134,4
V135,24
V136,12
V137,8
V138,0
V139,9
V140,10
V141,16
V142,2
V143,27
V144,0
V145,17
V146,32
V147,30
V148,0
V149,59
V150,2
V151,52
V152,0
V153,14
V154,24
V155,42
V156,2
V157,3
V158,27
V159,0
V160,38
V161,0
V162,28
V163,0
V164,6
V165,6
V166,8
V167,35
V168,0
V169,0
V170,0
V171,23
V172,50
V173,5
V174,38
V175,7
V176,41
V177,2
V178,1
V179,13
V180,1
V181,24
V182,20
V183,16
V184,48
V185,26
V186,49
V187,30
V188,39
V189,33
V190,40
V191,35
V192,16
V193,30
V194,39
V195,9
V196,31
V197,32
V198,51
V199,36
V200,32
V201,55
V202,37
V203,0
V204,37
V205,0
V206,16
V207,18
V208,23
V209,4
V210,4
V211,36
V212,17
V213,1
V214,6
V215,56
V216,39
V217,19
V218,12
V219,60
V220,54
V221,21
V222,22
V223,33
V224,34
V225,4
V226,3
V227,4
V228,13
V229,3
V230,1
V231,29
V232,24
V233,54
V234,53
V235,55
V236,0
V237,32
V238,3
V239,3
V240,52
V241,52
V242,0
V243,9
V244,8
V245,19
V246,0
V247,23
V248,0
V249,9
V250,4
V251,30
V252,35
V253,27
V254,44
V255,29
V256,8
V257,2
V258,19
V259,2
V260,14
V261,6
V262,10
V263,21
V264,43
V265,24
V266,22
V267,17
V268,13
V269,54
V270,23
V271,4
V272,56
V273,21
V274,4
V275,10
V276,21
V277,38
V278,49
V279,12
V280,14
V281,14
V282,2
V283,58
V284,23
V285,17
V286,53
V287,0
V288,40
V289,14
V290,19
V291,6
V292,7
V293,53
V294,17
V295,28
V296,27
V297,20
V298,29
V299,52
V300,3
V301,59
V302,15
V303,14
V304,35
V305,5
V306,13
V307,10
V308,11
V309,48
V310,11
V311,31
V312,24
V313,48
V314,3
V315,22
V316,14
V317,18
V318,26
V319,25
V320,22
V321,0
V322,2
V323,0
V324,61
V325,59
V326,11
V327,1
V328,0
V329,0
V330,10
V331,15
V332,8
V333,25
V334,19
V335,39
V336,13
V337,14
V338,25
V339,23
V340,22
V341,34
V342,43
V343,17
V344,28
V345,1
V346,1
V347,32
V348,19
V349,51
V350,0
V351,0
V352,11
V353,51
V354,24
V355,56
V356,50
V357,16
V358,3
V359,41
V360,23
V361,46
V362,61
V363,28
V364,0
V365,0
V366,47
V367,31
V368,28
V369,15
V370,6
V371,2
V372,0
V373,53
V374,50
V375,49
V376,23
V377,29
V378,56
V379,5
V380,20
V381,12
V382,0
V383,41
V384,31
V385,0
V386,19
V387,11
V388,28
V389,0
V390,17
V391,26
V392,39
V393,0
V394,0
V395,17
V396,38
V397,52
V398,4
V399,32
V400,9
V401,16
V402,44
V403,0
V404,47
V405,18
V406,47
V407,0
V408,6
V409,0
V410,15
V411,5
V412,2
V413,18
V414,47
V415,5
V416,11
V417,45
V418,44
V419,0
V420,5
V421,0
V422,60
V423,23
V424,57
V425,16
V426,25
V427,28
V428,29
V429,15
V430,21
V431,5
V432,0
V433,0
V434,49
V435,6
V436,4
V437,20
V438,21
V439,50
V440,6
V441,26
V442,9
V443,20
V444,25
V445,27
V446,7
V447,35
V448,0
V449,0
V450,39
V451,34
V452,1
V453,14
V454,4
V455,36
V456,0
V457,10
V458,30
V459,0
V460,12
V461,24
V462,0
V463,19
V464,30
V465,1
V466,1
V467,25
V468,1
V469,7
V470,20
V471,8
V472,40
V473,29
V474,18
V475,0
V476,22
V477,42
V478,39
V479,20
V480,19
V481,44
V482,13
V483,8
V484,17
V485,7
V486,36
V487,8
V488,18
V489,38
V490,30
V491,0
V492,21
V493,42
V494,0
V495,32
V496,6
V497,23
V498,4
V499,17
V500,32
V501,3
V502,5
V503,15
V504,31
V505,47
V506,0
V507,0
V508,45
V509,3
V510,1
V511,34
V512,0
V513,16
V514,34
V515,16
V516,46
V517,45
V518,27
V519,0
V520,59
V521,6
V522,0
V523,2
V524,11
V525,37
V526,55
V527,29
V528,17
V529,5
V530,24
V531,1
V532,2
V533,49
V534,0
V535,35
V536,0
V537,32
V538,23
V539,31
V540,21
V541,13
V542,44
V543,0
V544,2
V545,41
V546,37
V547,10
V548,16
V549,0
V550,2
V551,0
V552,22
V553,30
V554,6
V555,6
V556,22
V557,2
V558,13
V559,0
V560,5
V561,1
V562,2
V563,11
V564,6
V565,14
V566,7
V567,25
V568,15
V569,10
V570,38
V571,4
V572,19
V573,30
V574,20
V575,13
V576,7
V577,33
V578,34
V579,0
V580,0
V581,24
V582,31
V583,7
V584,0
V585,5
V586,19
V587,1
V588,0
V589,9
V590,0
V591,4
V592,0
V593,5
V594,18
V595,16
V596,0
V597,51
V598,21
V599,54
V600,6
V601,0
V602,3
V603,6
V604,1
V605,3
V606,14
V607,12
V608,12
V609,30
V610,0
V611,18
V612,25
V613,28
V614,16
V615,46
V616,17
V617,0
V618,40
V619,0
V620,36
V621,0
V622,36
V623,5
V624,9
V625,4
V626,25
V627,12
V628,56
V629,0
V630,11
V631,3
V632,21
V633,13
V634,47
V635,27
V636,0
V637,33
V638,0
V639,29
V640,11
V641,58
V642,9
V643,32
V644,12
V645,0
V646,1
V647,20
V648,30
V649,0
V650,0
V651,7
V652,43
V653,0
V654,34
V655,5
V656,26
V657,50
V658,3
V659,1
V660,54
V661,15
V662,0
V663,46
V664,25
V665,5
V666,50
V667,22
V668,60
V669,61
V670,1
V671,35
V672,4
V673,7
V674,60
V675,8
V676,0
V677,0
V678,14
V679,42
V680,17
V681,27
V682,34
V683,30
V684,27
V685,58
V686,27
V687,3
V688,10
V689,26
V690,9
V691,7
V692,11
V693,56
V694,47
V695,33
V696,9
V697,0
V698,2
V699,12
V700,20
V701,28
V702,31
V703,0
V704,1
V705,14
V706,0
V707,7
V708,0
V709,20
V710,2
V711,28
V712,35
V713,1
V714,0
V715,3
V716,4
V717,16
V718,57
V719,16
V720,15
V721,0
V722,3
V723,25
V724,43
V725,14
V726,42
V727,1
V728,24
V729,9
V730,61
V731,18
V732,4
V733,22
V734,12
V735,10
V736,15
V737,10
V738,26
V739,46
V740,0
V741,8
V742,3
V743,3
V744,11
V745,22
V746,39
V747,7
V748,17
V749,6
V750,1
V751,8
V752,19
V753,1
V754,42
V755,0
V756,9
V757,24
V758,11
V759,13
V760,11
V761,10
V762,23
V763,42
V764,16
V765,41
V766,36
V767,2
V768,18
V769,8
V770,29
V771,2
V772,1
V773,12
V774,2
V775,2
V776,0
V777,25
V778,8
V779,0
V780,45
V781,15
V782,4
V783,25
V784,5
V785,45
V786,0
V787,13
V788,46
V789,19
V790,5
V791,6
V792,2
V793,13
V794,4
V795,8
V796,40
V797,48
V798,1
V799,17
V800,21
V801,2
V802,40
V803,41
V804,18
V805,22
V806,29
V807,12
V808,29
V809,20
V810,0
V811,2
V812,3
V813,46
V814,8
V815,17
V816,14
V817,36
V818,34
V819,2
V820,42
V821,20
V822,15
V823,35
V824,0
V825,13
V826,0
V827,9
V828,51
V829,50
V830,3
V831,0
V832,13
V833,0
V834,0
V835,33
V836,0
V837,48
V838,0
V839,17
V840,0
V841,21
V842,51
V843,31
V844,27
V845,9
V846,4
V847,33
V848,45
V849,7
V850,8
V851,0
V852,19
V853,1
V854,16
V855,23
V856,13
V857,10
V858,37
V859,12
V860,33
V861,0
V862,1
V863,35
V864,24
V865,33
V866,12
V867,12
V868,42
V869,32
V870,0
V871,12
V872,19
V873,15
V874,25
V875,8
V876,0
V877,51
V878,37
V879,37
V880,15
V881,53
V882,15
V883,61
V884,14
V885,1
V886,20
V887,0
V888,0
V889,17
V890,38
V891,0
V892,20
V893,1
V894,36
V895,3
V896,28
V897,3
V898,4
V899,21
V900,31
V901,36
V902,6
V903,18
V904,38
V905,7
V906,2
V907,29
V908,13
V909,5
V910,21
V911,4
V912,1
V913,7
V914,0
V915,60
V916,8
V917,2
V918,29
V919,48
V920,44
V921,3
V922,36
V923,11
V924,17
V925,57
V926,16
V927,30
V928,33
V929,10
V930,10
V931,0
V932,47
V933,7
V934,59
V935,27
