V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,3,1,3,3,3,3,2,2,1,2,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,1,3,1,3,3,1,3,3,3,3,3,2,3,2,2,3,3,3,3,3
4,4,1,3,4,4,4,3,3,3,1,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,1,3,4,4,4,4,4
5,5,3,2,2,5,5,2,4,4,3,5,5,5,5,2,5,5,5,4,5,5,3,5,4,5,5,2,5,2,2,5,1,5,5,4,5,5,5,5,2,4,5,3,4,5,4,5,5,5
5,6,4,4,2,4,2,3,5,5,2,4,6,6,6,5,6,6,5,5,6,6,4,6,5,5,5,1,6,5,2,6,4,6,6,1,6,2,3,4,5,1,6,4,5,6,5,6,6,6
5,7,5,5,5,5,2,4,6,4,3,4,7,7,7,2,7,5,2,4,5,7,3,2,6,5,4,4,7,2,2,6,5,6,7,2,1,2,5,6,6,5,7,2,5,7,6,7,2,7
6,8,1,3,1,6,6,5,7,6,4,6,8,8,8,6,8,4,1,3,4,8,5,7,6,4,6,3,8,4,4,1,6,7,2,3,4,6,6,7,4,6,8,5,6,8,6,4,4,8
7,9,4,6,6,6,7,6,8,7,5,7,4,9,9,7,4,2,6,6,1,8,6,8,3,6,2,5,9,6,5,6,7,3,8,5,7,7,7,8,5,7,2,3,7,9,6,8,7,9
8,10,1,7,2,7,3,7,2,1,6,3,9,10,2,3,9,6,7,7,7,9,1,9,3,3,3,6,3,3,1,5,2,6,4,4,8,8,2,7,1,1,8,4,1,7,2,6,3,7
9,6,2,1,2,8,8,8,9,8,7,8,10,11,10,8,10,7,7,7,1,10,7,10,7,1,1,4,10,6,5,3,5,8,7,2,2,2,8,2,6,8,6,6,2,5,5,9,6,10
3,2,6,5,5,9,3,9,10,9,8,7,7,12,11,3,8,5,7,8,7,3,7,10,8,7,2,2,11,7,6,5,4,4,1,2,8,9,9,9,7,7,9,5,8,9,6,6,4,11
8,5,3,8,2,3,9,2,7,5,9,9,11,9,3,9,2,8,4,2,8,11,7,9,9,4,7,7,8,1,7,6,6,9,9,6,9,9,10,10,8,5,10,7,9,3,3,10,6,6
3,11,7,1,3,5,10,4,11,4,3,10,3,6,12,1,7,4,8,4,5,7,3,5,10,8,4,2,7,6,8,7,8,5,8,4,10,10,5,6,9,5,5,3,10,4,1,10,8,12
10,10,5,8,7,6,11,3,3,10,10,11,10,13,6,3,5,9,5,7,6,12,8,11,8,5,4,4,11,8,9,8,4,10,6,7,9,10,11,9,8,9,8,8,1,10,4,9,7,13
1,7,2,9,8,10,12,6,11,11,11,12,7,14,13,1,3,3,3,5,9,3,9,12,6,2,4,3,12,4,10,3,5,4,10,8,1,11,9,6,6,10,2,2,10,11,6,11,8,14
5,11,8,5,5,3,13,6,1,9,12,13,1,15,14,10,8,10,3,1,10,8,7,3,5,9,3,8,7,6,1,3,1,11,8,9,11,5,3,5,10,6,11,9,2,8,2,1,3,10
10,9,9,4,3,8,14,10,8,11,10,12,1,16,15,8,11,9,8,9,5,6,7,7,8,3,8,2,6,9,11,3,8,9,5,10,12,10,5,11,1,10,12,7,5,12,4,6,9,15
1,7,7,10,1,11,5,10,1,12,13,13,12,14,16,8,3,2,2,10,11,2,10,2,2,1,5,4,1,10,2,3,1,4,7,11,5,11,12,12,11,11,11,2,10,13,7,12,3,16
10,11,6,10,5,12,15,1,12,4,8,10,4,15,17,11,7,5,8,4,10,7,3,5,1,9,4,2,7,11,6,6,4,3,11,6,10,12,7,8,12,5,11,3,11,4,7,9,7,12
11,12,10,3,9,12,16,9,11,13,14,3,6,17,16,5,12,4,2,2,5,4,5,5,11,3,2,9,4,10,3,8,6,12,12,10,12,9,3,6,7,10,7,10,12,14,8,8,10,17
12,13,4,4,9,13,17,5,12,5,11,14,13,18,18,4,4,4,5,11,12,11,1,13,3,4,1,9,7,1,7,1,6,1,5,5,10,13,2,10,1,12,8,7,1,1,9,10,11,18
8,13,3,1,2,4,18,11,2,3,13,8,7,5,19,8,11,7,2,3,13,7,6,5,4,10,5,2,7,10,12,9,2,13,13,9,10,2,1,2,6,4,11,6,10,3,5,8,6,8
13,14,5,5,7,2,19,9,2,10,15,10,14,5,20,12,5,4,9,3,13,9,1,9,3,1,4,3,7,12,11,3,4,6,8,10,9,5,2,5,13,9,7,10,11,2,1,8,2,7
1,2,6,8,5,13,20,4,2,14,16,3,8,4,21,3,9,11,8,5,3,3,1,14,8,3,2,9,12,7,13,10,4,2,6,11,6,10,2,7,14,1,1,11,13,11,6,11,12,14
3,10,2,9,3,1,21,12,7,12,6,13,13,19,22,11,11,3,7,10,8,6,11,1,12,1,5,2,12,6,6,2,7,6,14,7,7,14,8,10,9,13,12,9,2,13,7,3,3,15
4,6,7,6,1,12,22,9,9,2,13,12,14,20,22,8,1,5,5,8,13,13,12,7,5,11,5,10,1,6,13,3,9,2,11,7,9,2,13,12,15,5,12,9,6,5,5,10,4,19
2,9,8,10,1,13,5,8,9,1,7,3,3,5,10,8,10,12,7,1,1,6,13,15,2,7,1,6,13,3,6,7,8,8,14,12,6,11,8,1,7,7,6,6,12,13,5,13,11,15
3,8,11,7,3,11,23,12,10,1,6,15,8,1,23,11,13,1,7,12,4,9,5,14,1,8,9,6,6,5,14,7,5,14,1,7,4,1,4,1,15,1,10,8,1,9,7,4,4,20
4,8,12,9,4,13,1,12,12,1,15,5,5,21,24,11,10,1,10,13,1,14,5,1,6,5,1,2,8,2,4,11,3,7,5,1,7,1,1,1,11,1,12,1,14,2,1,4,4,21
10,10,5,8,7,6,11,3,3,10,10,11,15,13,6,3,5,9,5,12,6,12,8,11,7,5,4,4,11,8,9,8,4,10,6,7,1,10,13,9,8,9,8,8,15,10,4,9,7,22
7,11,3,10,3,14,10,7,3,14,6,14,3,22,12,4,11,13,9,10,9,4,11,5,7,1,8,2,12,9,15,7,8,3,14,12,10,12,10,12,10,14,12,7,3,4,9,5,3,12
12,10,2,9,8,7,21,7,9,1,6,15,9,16,25,5,10,5,7,1,11,9,1,1,3,3,5,2,13,3,16,7,7,6,14,8,7,1,2,10,1,14,12,4,8,7,2,6,3,17
12,8,13,1,9,7,10,9,9,15,1,8,10,23,24,9,10,7,1,12,14,6,13,12,12,8,5,10,1,3,5,7,9,8,15,5,9,4,8,4,11,15,13,12,10,6,7,3,1,23
3,13,13,6,9,14,6,1,12,2,9,15,9,16,3,9,2,6,11,8,4,1,13,7,5,10,10,10,1,12,9,6,9,15,5,2,11,9,13,11,16,5,6,2,2,15,6,10,1,23
9,8,5,6,4,8,24,1,3,1,9,14,5,14,4,8,1,14,4,7,10,10,2,4,2,3,7,1,11,13,6,5,7,7,1,11,6,15,14,1,1,1,11,1,1,14,5,4,9,4
1,15,11,1,3,6,9,4,4,16,4,13,15,24,8,13,7,8,1,5,5,12,7,12,1,8,4,11,3,3,8,9,5,15,16,12,1,4,7,8,7,13,2,12,13,15,7,3,12,24
3,1,1,1,1,10,25,10,1,1,14,10,3,11,11,14,2,12,10,14,1,6,11,15,2,2,5,6,1,3,1,2,7,6,14,12,6,12,8,1,9,7,11,6,12,13,7,3,12,14
9,5,2,8,1,14,8,2,13,11,1,13,4,4,11,11,3,11,10,5,14,6,7,15,6,1,4,9,12,6,1,5,7,15,16,7,8,14,4,9,2,16,13,13,2,5,5,3,6,8
