V.g..name,V.g..comm_louvain
V0,33
V1,0
V2,7
V3,4
V4,16
V5,20
V6,5
V7,9
V8,7
V9,10
V10,5
V11,24
V12,10
V13,26
V14,29
V15,5
V16,5
V17,14
V18,0
V19,38
V20,0
V21,17
V22,22
V23,11
V24,25
V25,5
V26,30
V27,18
V28,0
V29,26
V30,9
V31,24
V32,9
V33,11
V34,9
V35,0
V36,22
V37,24
V38,15
V39,1
V40,2
V41,2
V42,17
V43,7
V44,36
V45,0
V46,6
V47,27
V48,31
V49,28
V50,11
V51,31
V52,7
V53,6
V54,28
V55,0
V56,14
V57,3
V58,21
V59,3
V60,28
V61,6
V62,1
V63,12
V64,1
V65,10
V66,28
V67,30
V68,7
V69,7
V70,4
V71,19
V72,21
V73,25
V74,4
V75,23
V76,2
V77,3
V78,10
V79,10
V80,7
V81,3
V82,2
V83,19
V84,29
V85,19
V86,13
V87,0
V88,27
V89,20
V90,9
V91,9
V92,0
V93,13
V94,20
V95,8
V96,12
V97,5
V98,20
V99,7
V100,9
V101,22
V102,19
V103,5
V104,29
V105,4
V106,3
V107,23
V108,29
V109,9
V110,6
V111,19
V112,7
V113,3
V114,2
V115,19
V116,15
V117,5
V118,12
V119,11
V120,5
V121,17
V122,37
V123,22
V124,14
V125,4
V126,19
V127,19
V128,0
V129,3
V130,38
V131,11
V132,31
V133,8
V134,0
V135,23
V136,27
V137,31
V138,30
V139,16
V140,30
V141,23
V142,31
V143,21
V144,30
V145,1
V146,0
V147,20
V148,16
V149,12
V150,2
V151,0
V152,6
V153,11
V154,1
V155,5
V156,16
V157,21
V158,18
V159,22
V160,20
V161,6
V162,10
V163,36
V164,32
V165,28
V166,0
V167,2
V168,6
V169,21
V170,32
V171,18
V172,14
V173,14
V174,6
V175,6
V176,4
V177,23
V178,2
V179,16
V180,21
V181,34
V182,0
V183,14
V184,0
V185,25
V186,1
V187,21
V188,15
V189,4
V190,28
V191,19
V192,1
V193,18
V194,24
V195,19
V196,34
V197,34
V198,21
V199,9
V200,17
V201,5
V202,2
V203,3
V204,0
V205,3
