V.g..name,V.g..comm_louvain
V0,20
V1,1
V2,6
V3,21
V4,4
V5,3
V6,2
V7,25
V8,4
V9,8
V10,21
V11,2
V12,2
V13,23
V14,36
V15,10
V16,4
V17,10
V18,14
V19,11
V20,5
V21,4
V22,23
V23,9
V24,7
V25,7
V26,13
V27,35
V28,16
V29,38
V30,4
V31,30
V32,15
V33,22
V34,12
V35,7
V36,25
V37,14
V38,19
V39,31
V40,14
V41,5
V42,16
V43,26
V44,39
V45,26
V46,10
V47,32
V48,31
V49,26
V50,25
V51,40
V52,25
V53,42
V54,19
V55,21
V56,15
V57,37
V58,2
V59,1
V60,3
V61,7
V62,43
V63,38
V64,26
V65,22
V66,32
V67,26
V68,2
V69,0
V70,3
V71,49
V72,1
V73,29
V74,53
V75,2
V76,8
V77,5
V78,31
V79,36
V80,1
V81,27
V82,17
V83,25
V84,3
V85,24
V86,54
V87,7
V88,42
V89,1
V90,45
V91,27
V92,55
V93,2
V94,16
V95,47
V96,21
V97,13
V98,30
V99,21
V100,56
V101,21
V102,18
V103,0
V104,13
V105,46
V106,18
V107,0
V108,6
V109,17
V110,3
V111,28
V112,3
V113,35
V114,22
V115,3
V116,7
V117,5
V118,1
V119,1
V120,7
V121,12
V122,42
V123,44
V124,43
V125,38
V126,7
V127,1
V128,19
V129,6
V130,6
V131,35
V132,54
V133,10
V134,2
V135,33
V136,2
V137,28
V138,8
V139,25
V140,27
V141,50
V142,16
V143,1
V144,31
V145,4
V146,0
V147,34
V148,8
V149,23
V150,7
V151,22
V152,7
V153,1
V154,6
V155,28
V156,3
V157,14
V158,34
V159,21
V160,28
V161,8
V162,0
V163,7
V164,15
V165,12
V166,8
V167,13
V168,0
V169,13
V170,12
V171,2
V172,28
V173,8
V174,37
V175,11
V176,27
V177,9
V178,39
V179,11
V180,31
V181,11
V182,20
V183,11
V184,54
V185,46
V186,31
V187,57
V188,13
V189,57
V190,48
V191,43
V192,9
V193,42
V194,40
V195,15
V196,11
V197,51
V198,13
V199,18
V200,48
V201,10
V202,15
V203,17
V204,27
V205,16
V206,10
V207,10
V208,22
V209,45
V210,30
V211,2
V212,4
V213,4
V214,55
V215,20
V216,15
V217,5
V218,2
V219,21
V220,4
V221,24
V222,30
V223,3
V224,23
V225,2
V226,17
V227,2
V228,8
V229,19
V230,2
V231,16
V232,25
V233,3
V234,11
V235,18
V236,9
V237,42
V238,13
V239,2
V240,14
V241,19
V242,29
V243,42
V244,1
V245,21
V246,9
V247,36
V248,9
V249,41
V250,20
V251,14
V252,33
V253,49
V254,34
V255,17
V256,20
V257,9
V258,22
V259,26
V260,18
V261,7
V262,17
V263,29
V264,15
V265,31
V266,8
V267,35
V268,4
V269,11
V270,1
V271,19
V272,3
V273,44
V274,49
V275,14
V276,34
V277,37
V278,33
V279,5
V280,17
V281,2
V282,39
V283,0
V284,18
V285,17
V286,10
V287,8
V288,17
V289,13
V290,7
V291,58
V292,13
V293,26
V294,26
V295,47
V296,23
V297,44
V298,44
V299,2
V300,39
V301,35
V302,10
V303,3
V304,39
V305,28
V306,7
V307,7
V308,15
V309,11
V310,12
V311,7
V312,39
V313,19
V314,30
V315,3
V316,37
V317,0
V318,4
V319,17
V320,35
V321,27
V322,27
V323,1
V324,11
V325,4
V326,33
V327,10
V328,37
V329,1
V330,23
V331,16
V332,24
V333,10
V334,32
V335,8
V336,11
V337,44
V338,29
V339,5
V340,0
V341,25
V342,0
V343,28
V344,19
V345,17
V346,9
V347,38
V348,4
V349,12
V350,18
V351,1
V352,29
V353,1
V354,6
V355,22
V356,5
V357,27
V358,24
V359,6
V360,24
V361,15
V362,9
V363,4
V364,2
V365,38
V366,11
V367,26
V368,17
V369,10
V370,18
V371,25
V372,0
V373,3
V374,42
V375,31
V376,13
V377,12
V378,8
V379,6
V380,37
V381,13
V382,6
V383,9
V384,8
V385,27
V386,33
V387,7
V388,51
V389,40
V390,46
V391,2
V392,35
V393,50
V394,4
V395,41
V396,6
V397,14
V398,18
V399,5
V400,1
V401,48
V402,8
V403,18
V404,4
V405,2
V406,3
V407,20
V408,6
V409,22
V410,47
V411,45
V412,24
V413,25
V414,45
V415,16
V416,33
V417,25
V418,22
V419,9
V420,3
V421,17
V422,41
V423,24
V424,16
V425,0
V426,50
V427,18
V428,24
V429,21
V430,38
V431,23
V432,3
V433,24
V434,5
V435,16
V436,39
V437,27
V438,57
V439,0
V440,16
V441,20
V442,37
V443,6
V444,4
V445,32
V446,7
V447,2
V448,58
V449,0
V450,12
V451,10
V452,2
V453,34
V454,22
V455,9
V456,27
V457,5
V458,0
V459,34
V460,33
V461,1
V462,5
V463,51
V464,1
V465,10
V466,41
V467,35
V468,21
V469,14
V470,56
V471,40
V472,41
V473,12
V474,10
V475,20
V476,3
V477,51
V478,2
V479,1
V480,1
V481,43
V482,13
V483,28
V484,1
V485,52
V486,28
V487,24
V488,48
V489,9
V490,44
V491,27
V492,3
V493,58
V494,29
V495,47
V496,9
V497,5
V498,45
V499,2
V500,24
V501,25
V502,28
V503,2
V504,4
V505,20
V506,1
V507,0
V508,32
V509,31
V510,12
V511,32
V512,29
V513,12
V514,7
V515,48
V516,21
V517,6
V518,1
V519,13
V520,23
V521,17
V522,7
V523,0
V524,17
V525,15
V526,30
V527,1
V528,0
V529,2
V530,38
V531,10
V532,7
V533,11
V534,18
V535,13
V536,14
V537,5
V538,21
V539,12
V540,30
V541,23
V542,6
V543,2
V544,9
V545,16
V546,0
V547,32
V548,15
V549,25
V550,2
V551,44
V552,28
V553,0
V554,6
V555,2
V556,14
V557,0
V558,51
V559,23
V560,0
V561,1
V562,11
V563,20
V564,43
V565,43
V566,13
V567,14
V568,3
V569,3
V570,55
V571,53
V572,3
V573,4
V574,0
V575,29
V576,33
V577,40
