V.g..name,V.g..comm_louvain
V0,0
V1,0
V2,3
V3,0
V4,0
V5,15
V6,16
V7,0
V8,0
V9,1
V10,0
V11,17
V12,0
V13,0
V14,0
V15,0
V16,0
V17,0
V18,0
V19,0
V20,8
V21,0
V22,9
V23,0
V24,18
V25,0
V26,0
V27,19
V28,0
V29,0
V30,0
V31,0
V32,0
V33,0
V34,20
V35,0
V36,0
V37,0
V38,0
V39,0
V40,0
V41,21
V42,6
V43,0
V44,0
V45,0
V46,22
V47,0
V48,0
V49,0
V50,23
V51,0
V52,0
V53,16
V54,8
V55,0
V56,0
V57,0
V58,7
V59,17
V60,0
V61,0
V62,0
V63,0
V64,0
V65,0
V66,0
V67,0
V68,1
V69,0
V70,1
V71,24
V72,25
V73,0
V74,0
V75,0
V76,0
V77,2
V78,0
V79,0
V80,0
V81,0
V82,0
V83,0
V84,0
V85,0
V86,0
V87,26
V88,0
V89,0
V90,0
V91,0
V92,0
V93,10
V94,0
V95,0
V96,0
V97,0
V98,1
V99,26
V100,0
V101,0
V102,0
V103,11
V104,0
V105,0
V106,0
V107,0
V108,0
V109,0
V110,0
V111,0
V112,0
V113,0
V114,23
V115,0
V116,0
V117,0
V118,0
V119,3
V120,0
V121,0
V122,0
V123,0
V124,0
V125,0
V126,0
V127,0
V128,0
V129,2
V130,0
V131,0
V132,0
V133,0
V134,0
V135,0
V136,27
V137,0
V138,0
V139,0
V140,0
V141,0
V142,6
V143,0
V144,0
V145,0
V146,0
V147,0
V148,7
V149,0
V150,9
V151,0
V152,0
V153,0
V154,8
V155,0
V156,0
V157,0
V158,0
V159,0
V160,0
V161,0
V162,0
V163,0
V164,0
V165,0
V166,0
V167,3
V168,0
V169,0
V170,0
V171,0
V172,0
V173,0
V174,0
V175,0
V176,0
V177,0
V178,0
V179,0
V180,28
V181,0
V182,0
V183,0
V184,0
V185,0
V186,0
V187,0
V188,0
V189,0
V190,0
V191,0
V192,0
V193,0
V194,0
V195,29
V196,0
V197,4
V198,0
V199,18
V200,0
V201,0
V202,4
V203,0
V204,0
V205,15
V206,0
V207,0
V208,0
V209,12
V210,0
V211,0
V212,0
V213,0
V214,0
V215,0
V216,0
V217,0
V218,0
V219,0
V220,30
V221,0
V222,0
V223,0
V224,0
V225,0
V226,0
V227,0
V228,0
V229,0
V230,3
V231,0
V232,0
V233,0
V234,0
V235,0
V236,0
V237,0
V238,0
V239,8
V240,0
V241,0
V242,0
V243,0
V244,0
V245,0
V246,0
V247,7
V248,0
V249,0
V250,0
V251,0
V252,0
V253,0
V254,31
V255,0
V256,0
V257,5
V258,0
V259,5
V260,0
V261,0
V262,32
V263,0
V264,0
V265,0
V266,32
V267,31
V268,0
V269,8
V270,0
V271,0
V272,0
V273,0
V274,0
V275,2
V276,0
V277,0
V278,18
V279,0
V280,0
V281,0
V282,0
V283,17
V284,0
V285,0
V286,0
V287,0
V288,0
V289,0
V290,0
V291,0
V292,0
V293,0
V294,0
V295,0
V296,0
V297,0
V298,0
V299,0
V300,0
V301,2
V302,0
V303,0
V304,0
V305,0
V306,9
V307,0
V308,2
V309,0
V310,0
V311,0
V312,0
V313,0
V314,0
V315,0
V316,0
V317,0
V318,0
V319,0
V320,0
V321,0
V322,5
V323,0
V324,0
V325,0
V326,0
V327,0
V328,0
V329,0
V330,0
V331,0
V332,0
V333,0
V334,0
V335,0
V336,0
V337,0
V338,0
V339,0
V340,0
V341,0
V342,0
V343,0
V344,0
V345,0
V346,0
V347,0
V348,5
V349,24
V350,0
V351,18
V352,0
V353,0
V354,8
V355,0
V356,33
V357,0
V358,0
V359,0
V360,0
V361,0
V362,1
V363,0
V364,25
V365,0
V366,0
V367,0
V368,0
V369,0
V370,0
V371,9
V372,10
V373,0
V374,13
V375,0
V376,0
