V.g..name,V.g..comm_louvain
V0,30
V1,32
V2,6
V3,27
V4,3
V5,10
V6,20
V7,13
V8,6
V9,14
V10,21
V11,0
V12,24
V13,16
V14,8
V15,5
V16,20
V17,18
V18,4
V19,20
V20,8
V21,10
V22,31
V23,35
V24,9
V25,21
V26,26
V27,33
V28,39
V29,16
V30,13
V31,36
V32,9
V33,22
V34,13
V35,8
V36,31
V37,0
V38,33
V39,1
V40,2
V41,12
V42,23
V43,3
V44,28
V45,22
V46,22
V47,24
V48,5
V49,9
V50,0
V51,23
V52,34
V53,13
V54,3
V55,16
V56,1
V57,5
V58,18
V59,24
V60,11
V61,7
V62,4
V63,3
V64,1
V65,13
V66,1
V67,14
V68,27
V69,25
V70,5
V71,32
V72,5
V73,30
V74,6
V75,33
V76,2
V77,7
V78,31
V79,6
V80,2
V81,2
V82,15
V83,33
V84,11
V85,11
V86,8
V87,22
V88,10
V89,12
V90,28
V91,13
V92,15
V93,25
V94,18
V95,12
V96,9
V97,20
V98,10
V99,11
V100,13
V101,31
V102,15
V103,20
V104,17
V105,5
V106,7
V107,0
V108,16
V109,18
V110,0
V111,15
V112,10
V113,7
V114,2
V115,0
V116,21
V117,17
V118,8
V119,13
V120,12
V121,4
V122,0
V123,18
V124,16
V125,15
V126,23
V127,21
V128,7
V129,30
V130,23
V131,9
V132,17
V133,30
V134,29
V135,38
V136,30
V137,19
V138,23
V139,26
V140,0
V141,17
V142,12
V143,26
V144,12
V145,33
V146,25
V147,16
V148,2
V149,2
V150,26
V151,3
V152,23
V153,1
V154,21
V155,21
V156,22
V157,29
V158,19
V159,10
V160,10
V161,17
V162,31
V163,0
V164,1
V165,19
V166,23
V167,25
V168,25
V169,0
V170,24
V171,2
V172,18
V173,3
V174,3
V175,27
V176,1
V177,6
V178,22
V179,27
V180,32
V181,7
V182,21
V183,24
V184,32
V185,0
V186,3
V187,25
V188,5
V189,15
V190,15
V191,1
V192,2
V193,1
V194,15
V195,15
V196,2
V197,32
V198,25
V199,9
V200,4
V201,20
V202,2
V203,11
V204,7
V205,28
V206,36
V207,9
V208,3
V209,7
V210,0
V211,9
V212,8
V213,10
V214,22
V215,15
V216,8
V217,9
V218,13
V219,10
V220,13
V221,20
V222,19
V223,6
V224,1
V225,21
V226,24
V227,38
V228,18
V229,4
V230,14
V231,27
V232,5
V233,4
V234,6
V235,29
V236,17
V237,11
V238,21
V239,14
V240,1
V241,13
V242,4
V243,3
V244,5
V245,17
V246,7
V247,16
V248,37
V249,26
V250,16
V251,23
V252,4
V253,0
V254,10
V255,21
V256,15
V257,4
V258,12
V259,34
V260,11
V261,12
V262,12
V263,4
V264,6
V265,31
V266,36
V267,10
V268,34
V269,0
V270,12
V271,25
V272,30
V273,26
V274,0
V275,1
V276,2
V277,16
V278,37
V279,13
V280,9
V281,11
V282,21
V283,10
V284,25
V285,25
V286,2
V287,29
V288,16
V289,4
V290,13
V291,34
V292,5
V293,23
V294,32
V295,2
V296,33
V297,1
V298,25
V299,34
V300,26
V301,34
V302,0
V303,2
V304,29
V305,4
V306,4
V307,28
V308,18
V309,12
V310,18
V311,14
V312,1
V313,20
V314,1
V315,23
V316,5
V317,30
V318,2
V319,19
V320,32
V321,20
V322,4
V323,7
V324,1
V325,22
V326,4
V327,6
V328,3
V329,0
V330,30
V331,7
V332,9
V333,0
V334,35
V335,14
V336,6
V337,0
V338,14
V339,8
V340,17
V341,22
V342,0
V343,6
V344,0
V345,10
V346,32
V347,4
V348,8
V349,0
V350,19
