V.g..name,V.g..comm_louvain
V0,2
V1,18
V2,14
V3,6
V4,49
V5,10
V6,35
V7,7
V8,20
V9,4
V10,15
V11,3
V12,55
V13,36
V14,42
V15,37
V16,19
V17,21
V18,16
V19,56
V20,43
V21,50
V22,0
V23,19
V24,38
V25,16
V26,11
V27,27
V28,2
V29,12
V30,42
V31,21
V32,13
V33,66
V34,22
V35,0
V36,5
V37,38
V38,0
V39,67
V40,0
V41,18
V42,57
V43,15
V44,28
V45,39
V46,44
V47,44
V48,67
V49,22
V50,16
V51,67
V52,0
V53,1
V54,21
V55,58
V56,59
V57,21
V58,6
V59,3
V60,8
V61,7
V62,71
V63,16
V64,29
V65,60
V66,35
V67,0
V68,30
V69,51
V70,6
V71,66
V72,0
V73,19
V74,38
V75,52
V76,30
V77,10
V78,9
V79,61
V80,0
V81,2
V82,21
V83,0
V84,16
V85,11
V86,30
V87,0
V88,1
V89,1
V90,40
V91,1
V92,13
V93,5
V94,31
V95,23
V96,32
V97,0
V98,4
V99,39
V100,33
V101,45
V102,62
V103,9
V104,17
V105,72
V106,63
V107,49
V108,20
V109,2
V110,24
V111,12
V112,68
V113,6
V114,16
V115,0
V116,10
V117,0
V118,38
V119,0
V120,63
V121,50
V122,73
V123,55
V124,0
V125,0
V126,74
V127,53
V128,13
V129,42
V130,17
V131,32
V132,31
V133,52
V134,75
V135,8
V136,13
V137,3
V138,0
V139,0
V140,13
V141,18
V142,37
V143,11
V144,53
V145,16
V146,2
V147,25
V148,12
V149,0
V150,25
V151,51
V152,7
V153,60
V154,22
V155,0
V156,0
V157,36
V158,76
V159,0
V160,2
V161,0
V162,0
V163,56
V164,57
V165,9
V166,0
V167,0
V168,0
V169,37
V170,67
V171,0
V172,34
V173,9
V174,74
V175,44
V176,13
V177,0
V178,46
V179,24
V180,0
V181,66
V182,6
V183,0
V184,2
V185,72
V186,76
V187,40
V188,7
V189,19
V190,26
V191,11
V192,19
V193,62
V194,37
V195,1
V196,35
V197,77
V198,44
V199,10
V200,1
V201,0
V202,31
V203,41
V204,28
V205,12
V206,0
V207,19
V208,15
V209,6
V210,32
V211,35
V212,11
V213,52
V214,61
V215,78
V216,46
V217,0
V218,59
V219,26
V220,62
V221,68
V222,64
V223,11
V224,5
V225,64
V226,30
V227,29
V228,9
V229,29
V230,0
V231,26
V232,23
V233,4
V234,65
V235,26
V236,0
V237,56
V238,0
V239,51
V240,16
V241,0
V242,12
V243,14
V244,4
V245,0
V246,14
V247,29
V248,54
V249,43
V250,79
V251,25
V252,0
V253,11
V254,25
V255,12
V256,0
V257,28
V258,9
V259,39
V260,52
V261,68
V262,6
V263,36
V264,40
V265,26
V266,0
V267,24
V268,36
V269,80
V270,19
V271,26
V272,3
V273,0
V274,3
V275,7
V276,58
V277,7
V278,17
V279,33
V280,61
V281,64
V282,25
V283,60
V284,7
V285,7
V286,43
V287,7
V288,80
V289,34
V290,5
V291,63
V292,38
V293,5
V294,21
V295,62
V296,20
V297,55
V298,3
V299,47
V300,0
V301,78
V302,60
V303,2
V304,41
V305,79
V306,0
V307,59
V308,47
V309,24
V310,0
V311,5
V312,6
V313,6
V314,80
V315,1
V316,19
V317,54
V318,31
V319,12
V320,3
V321,24
V322,69
V323,72
V324,29
V325,30
V326,2
V327,71
V328,10
V329,72
V330,8
V331,10
V332,53
V333,12
V334,33
V335,0
V336,78
V337,22
V338,27
V339,16
V340,0
V341,5
V342,24
V343,27
V344,23
V345,13
V346,54
V347,20
V348,17
V349,65
V350,7
V351,28
V352,31
V353,53
V354,4
V355,16
V356,39
V357,30
V358,0
V359,1
V360,3
V361,59
V362,44
V363,1
V364,0
V365,0
V366,0
V367,17
V368,25
V369,59
V370,13
V371,4
V372,3
V373,22
V374,17
V375,11
V376,47
V377,68
V378,45
V379,50
V380,15
V381,37
V382,20
V383,21
V384,49
V385,27
